epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1007.54,0.60523,0.31506,0.81738,0.93307,0.94848,0.96053,0.7381,0.58922,0.29357,0.81019,0.000339364,0.000339364,0.000339364
55,1025.28,0.59923,0.31134,0.81523,0.93792,0.95163,0.95623,0.71493,0.63461,0.30416,0.81314,0.000332296,0.000332296,0.000332296
56,1042.91,0.59437,0.30629,0.81641,0.93554,0.94876,0.96006,0.74889,0.57693,0.29458,0.80495,0.000325227,0.000325227,0.000325227
57,1060.19,0.58292,0.30304,0.8149,0.95175,0.93315,0.95573,0.73695,0.59468,0.2908,0.80869,0.000318158,0.000318158,0.000318158
58,1077.64,0.58782,0.30382,0.81477,0.92653,0.94568,0.94562,0.74557,0.55942,0.28897,0.80284,0.00031109,0.00031109,0.00031109
59,1095.24,0.57978,0.29933,0.81382,0.93511,0.95715,0.95958,0.73433,0.59769,0.28904,0.80729,0.000304021,0.000304021,0.000304021
60,1112.81,0.573,0.29694,0.81187,0.93897,0.95733,0.96096,0.74077,0.60079,0.29405,0.80723,0.000296953,0.000296953,0.000296953
61,1131.01,0.57035,0.29529,0.81094,0.9344,0.95863,0.95948,0.74438,0.5895,0.28392,0.80688,0.000289884,0.000289884,0.000289884
62,1149.36,0.56665,0.29384,0.81228,0.94331,0.94078,0.96187,0.75906,0.56014,0.28213,0.80582,0.000282815,0.000282815,0.000282815
63,1168.01,0.56419,0.29482,0.81237,0.94547,0.95103,0.96092,0.76042,0.53213,0.27775,0.80472,0.000275747,0.000275747,0.000275747
64,1186.19,0.5556,0.2884,0.81172,0.94574,0.95516,0.96189,0.75144,0.58679,0.28861,0.80651,0.000268678,0.000268678,0.000268678
65,1204.03,0.54908,0.28864,0.81,0.93246,0.96113,0.96341,0.75624,0.56939,0.2841,0.80554,0.00026161,0.00026161,0.00026161
66,1222.26,0.55321,0.28817,0.81171,0.93495,0.9571,0.96437,0.76355,0.55579,0.27655,0.80568,0.000254541,0.000254541,0.000254541
67,1239.97,0.55194,0.28886,0.81076,0.93364,0.94619,0.96512,0.75926,0.56132,0.28261,0.8053,0.000247472,0.000247472,0.000247472
68,1257.64,0.55229,0.28721,0.81214,0.94935,0.94689,0.96073,0.75797,0.5586,0.27706,0.80567,0.000240404,0.000240404,0.000240404
69,1275.94,0.53393,0.28147,0.80708,0.94121,0.95134,0.95934,0.7588,0.55837,0.27143,0.80488,0.000233335,0.000233335,0.000233335
70,1293.41,0.54156,0.28375,0.80976,0.94021,0.94593,0.95626,0.74575,0.56737,0.27398,0.80559,0.000226267,0.000226267,0.000226267
71,1312.72,0.539,0.28045,0.80799,0.9285,0.95967,0.95767,0.76738,0.5456,0.26856,0.8041,0.000219198,0.000219198,0.000219198
